"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.0930079155207237,0.0786583633009546,0.0111936726234835,0.303889914847169,1.00210858006545,1400,2003,"anti-logit Year eff","Asia"
2,0.0934417301639946,0.0646233061831178,0.0159699868742046,0.261019458025983,1.00124023703656,3500,2004,"anti-logit Year eff","Asia"
3,0.274313092888405,0.122796562569594,0.0861979409026491,0.557378695153097,1.00143667963711,2600,2005,"anti-logit Year eff","Asia"
4,0.217616199275164,0.0913141236084399,0.0769294191479646,0.419145576116263,1.00191147038812,1600,2006,"anti-logit Year eff","Asia"
5,0.160280141147143,0.0775622919530434,0.0520419756242078,0.346468267495947,1.00513452553388,450,2007,"anti-logit Year eff","Asia"
6,0.216257942151442,0.0871503476858035,0.0799965494189648,0.417167775431792,1.00116069979991,4000,2008,"anti-logit Year eff","Asia"
7,0.236316288392072,0.0898146561146436,0.0915217239035774,0.441273770045404,1.00083725714535,4500,2009,"anti-logit Year eff","Asia"
8,0.32893305702157,0.105998749041529,0.145365242544134,0.55523692030872,1.00168812636777,2000,2010,"anti-logit Year eff","Asia"
9,0.149566545120323,0.065717934942743,0.0516150693881079,0.30660128540031,1.00315622537833,810,2011,"anti-logit Year eff","Asia"
10,0.188481374875612,0.078207572132275,0.069560427786569,0.371015738447989,1.00190931528792,1600,2012,"anti-logit Year eff","Asia"
11,0.189319409437082,0.0736075152548974,0.0734874611071581,0.358122285317,1.00233618722846,1200,2013,"anti-logit Year eff","Asia"
12,0.264393250255306,0.101413214559966,0.0976124257265751,0.490522696203388,1.00192592436064,1600,2014,"anti-logit Year eff","Asia"
13,0.396707455903187,0.115668778024777,0.194116467504977,0.639104889907059,1.00086335974069,4500,2015,"anti-logit Year eff","Asia"
14,0.237430303030981,0.0865055562368708,0.0981741409292202,0.439744046118313,1.00116476649457,4500,2016,"anti-logit Year eff","Asia"
15,0.323524732006397,0.102390732142531,0.147024204200562,0.539250026000537,1.00111551837642,4400,2017,"anti-logit Year eff","Asia"
16,0.30912344658995,0.0983777006100254,0.141901166341338,0.525835435986207,1.00076463710356,4500,2018,"anti-logit Year eff","Asia"
