"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.433165514675988,0.0354071580358674,0.364391967284506,0.50334071326672,1.00389906557758,620,2003,"MM.p.uw","Africa"
2,0.454097235131768,0.0321325432159032,0.391773742965311,0.51687843843692,1.00120917069934,3700,2004,"MM.p.uw","Africa"
3,0.413179345010341,0.0351087127556821,0.346337211783874,0.483192019839521,1.00111372904732,4500,2005,"MM.p.uw","Africa"
4,0.443514978392688,0.0402428462028543,0.364121140858248,0.521169911333507,1.00083363575482,4500,2006,"MM.p.uw","Africa"
5,0.455197604666998,0.0380434711034811,0.381017296143576,0.529490337640949,1.00315588464464,810,2007,"MM.p.uw","Africa"
6,0.549599074354511,0.0326798934288732,0.486169322089514,0.613839876603591,1.0032879063879,760,2008,"MM.p.uw","Africa"
7,0.533102641895861,0.0303626918801141,0.473188763733567,0.593285893712192,1.00087292827178,4500,2009,"MM.p.uw","Africa"
8,0.52424394257576,0.0299519185411015,0.464484802752572,0.581979677787787,1.00117185276333,3900,2010,"MM.p.uw","Africa"
9,0.686965072856542,0.0250683223945464,0.635471353259855,0.733978926221227,1.0023611281099,1200,2011,"MM.p.uw","Africa"
10,0.655161093841752,0.0245718003532721,0.606769718724373,0.701118823375741,1.00233585575581,1200,2012,"MM.p.uw","Africa"
11,0.608508815200877,0.0263556648554812,0.555748141618843,0.659859207764466,1.0020529173061,1400,2013,"MM.p.uw","Africa"
12,0.645119870903327,0.0264670871389526,0.591303035917764,0.695516429704363,1.00110401572538,4500,2014,"MM.p.uw","Africa"
13,0.635234524229363,0.0256587663064049,0.585138711444863,0.68357719927555,1.00181175878606,1700,2015,"MM.p.uw","Africa"
14,0.620374649211323,0.0274994959089764,0.566379197064147,0.671288686784801,1.00141073139924,2700,2016,"MM.p.uw","Africa"
15,0.568141264299199,0.0282155810604242,0.510757020002345,0.623396599766185,1.00071988520173,4500,2017,"MM.p.uw","Africa"
16,0.535030259009639,0.0243032081991653,0.485711277304747,0.582411323971381,1.00082003502336,4500,2018,"MM.p.uw","Africa"
17,0.417133924807967,0.0272181143148696,0.364925663734989,0.47185010761862,1.00196850971468,1500,2019,"MM.p.uw","Africa"
18,0.348924444151285,0.0285327352856313,0.293869505328259,0.406013542898102,1.00212862401548,1400,2020,"MM.p.uw","Africa"
19,0.385600517711754,0.0308834847242808,0.325638683688866,0.446583957506244,1.00118791624215,3800,2021,"MM.p.uw","Africa"
20,0.333409493714205,0.0288484717711832,0.278767504511668,0.390064493756082,1.00073950367832,4500,2022,"MM.p.uw","Africa"
1,0.433165514675988,0.0354071580358674,0.364391967284506,0.50334071326672,1.00389906557758,620,2003,"MM.p.w","Africa"
2,0.454097235131768,0.0321325432159032,0.391773742965311,0.51687843843692,1.00120917069934,3700,2004,"MM.p.w","Africa"
3,0.413179345010341,0.0351087127556821,0.346337211783874,0.483192019839521,1.00111372904732,4500,2005,"MM.p.w","Africa"
4,0.443514978392688,0.0402428462028543,0.364121140858248,0.521169911333507,1.00083363575482,4500,2006,"MM.p.w","Africa"
5,0.455197604666998,0.0380434711034811,0.381017296143576,0.529490337640949,1.00315588464464,810,2007,"MM.p.w","Africa"
6,0.549599074354511,0.0326798934288732,0.486169322089514,0.613839876603591,1.0032879063879,760,2008,"MM.p.w","Africa"
7,0.533102641895861,0.0303626918801141,0.473188763733567,0.593285893712192,1.00087292827178,4500,2009,"MM.p.w","Africa"
8,0.52424394257576,0.0299519185411015,0.464484802752572,0.581979677787787,1.00117185276333,3900,2010,"MM.p.w","Africa"
9,0.686965072856542,0.0250683223945464,0.635471353259855,0.733978926221227,1.0023611281099,1200,2011,"MM.p.w","Africa"
10,0.655161093841752,0.0245718003532721,0.606769718724373,0.701118823375741,1.00233585575581,1200,2012,"MM.p.w","Africa"
11,0.608508815200877,0.0263556648554812,0.555748141618843,0.659859207764466,1.0020529173061,1400,2013,"MM.p.w","Africa"
12,0.645119870903327,0.0264670871389526,0.591303035917764,0.695516429704363,1.00110401572538,4500,2014,"MM.p.w","Africa"
13,0.635234524229363,0.0256587663064049,0.585138711444863,0.68357719927555,1.00181175878606,1700,2015,"MM.p.w","Africa"
14,0.620374649211323,0.0274994959089764,0.566379197064147,0.671288686784801,1.00141073139924,2700,2016,"MM.p.w","Africa"
15,0.568141264299199,0.0282155810604242,0.510757020002345,0.623396599766185,1.00071988520173,4500,2017,"MM.p.w","Africa"
16,0.535030259009639,0.0243032081991653,0.485711277304747,0.582411323971381,1.00082003502336,4500,2018,"MM.p.w","Africa"
17,0.417133924807967,0.0272181143148696,0.364925663734989,0.47185010761862,1.00196850971468,1500,2019,"MM.p.w","Africa"
18,0.348924444151285,0.0285327352856313,0.293869505328259,0.406013542898102,1.00212862401548,1400,2020,"MM.p.w","Africa"
19,0.385600517711754,0.0308834847242808,0.325638683688866,0.446583957506244,1.00118791624215,3800,2021,"MM.p.w","Africa"
20,0.333409493714205,0.0288484717711832,0.278767504511668,0.390064493756082,1.00073950367832,4500,2022,"MM.p.w","Africa"
1,0.378627968337731,NA,NA,NA,NA,NA,2003,"Observed","Africa"
2,0.490438695163105,NA,NA,NA,NA,NA,2004,"Observed","Africa"
3,0.370619946091644,NA,NA,NA,NA,NA,2005,"Observed","Africa"
4,0.343878954607978,NA,NA,NA,NA,NA,2006,"Observed","Africa"
5,0.49375,NA,NA,NA,NA,NA,2007,"Observed","Africa"
6,0.508844953173777,NA,NA,NA,NA,NA,2008,"Observed","Africa"
7,0.339506172839506,NA,NA,NA,NA,NA,2009,"Observed","Africa"
8,0.569143932267168,NA,NA,NA,NA,NA,2010,"Observed","Africa"
9,0.694903581267218,NA,NA,NA,NA,NA,2011,"Observed","Africa"
10,0.557446808510638,NA,NA,NA,NA,NA,2012,"Observed","Africa"
11,0.528405201916496,NA,NA,NA,NA,NA,2013,"Observed","Africa"
12,0.540055248618785,NA,NA,NA,NA,NA,2014,"Observed","Africa"
13,0.540092776673294,NA,NA,NA,NA,NA,2015,"Observed","Africa"
14,0.484722222222222,NA,NA,NA,NA,NA,2016,"Observed","Africa"
15,0.414414414414414,NA,NA,NA,NA,NA,2017,"Observed","Africa"
16,0.428785607196402,NA,NA,NA,NA,NA,2018,"Observed","Africa"
17,0.257818459191457,NA,NA,NA,NA,NA,2019,"Observed","Africa"
18,0.177877428998505,NA,NA,NA,NA,NA,2020,"Observed","Africa"
19,0.19683257918552,NA,NA,NA,NA,NA,2021,"Observed","Africa"
20,0.16703056768559,NA,NA,NA,NA,NA,2022,"Observed","Africa"
1,0.401937519006419,0.0808942530849139,0.248629447301495,0.562283490469467,1.00269084850822,990,2003,"anti-logit Year eff","Africa"
2,0.41038528608651,0.080154060116381,0.256920923825849,0.572167357446924,1.00070639324697,4500,2004,"anti-logit Year eff","Africa"
3,0.355641524016253,0.0786658602947526,0.213845025808719,0.519185271239951,1.00102405040401,4500,2005,"anti-logit Year eff","Africa"
4,0.394945642760461,0.0879677494059738,0.236058921729306,0.569456463055597,1.00120632265326,3700,2006,"anti-logit Year eff","Africa"
5,0.433777044344784,0.0882175179448979,0.265406460273917,0.609845409508118,1.00167622793657,2000,2007,"anti-logit Year eff","Africa"
6,0.570206274577297,0.0837871053351091,0.402289696694138,0.725657237827667,1.00386816578398,630,2008,"anti-logit Year eff","Africa"
7,0.547269811122808,0.0810110537299048,0.385305865239773,0.700379835033277,1.00103175255132,4500,2009,"anti-logit Year eff","Africa"
